Descripcion_1,Descripcion_2,precio,mt2,latitud,longitud,Nombre_sector
Departamento,Departamento,114600,109,-0.1161249948241967,-78.48611528579006,Ponceano
Departamento,Departamento,320000,209,-0.1941469296610547,-78.5030473966306,Belisario Quevedo
Departamento,Departamento,179900,200,-0.2754883013759804,-78.5460522783445,Santa Rita
Departamento,Departamento,58500,73,-0.2858643630157749,-78.56461567450323,Chillogallo
Departamento,Departamento,65000,70,-0.13706363259813,-78.4658112514746,San Isidro del Inca
Departamento,Departamento,51000,80,-0.1347790872293423,-78.45656592305943,San Isidro del Inca
Casa,Casa,137000,154,-0.1672540123417132,-78.47299137616102,El Inca
Departamento,Departamento,72000,125,-0.122028000622056,-78.4900469702014,Ponceano
Oficina/Consultorio,Oficina/Consultorio,165000,77,-0.1758799693725421,-78.48602111911693,Iñaquito
Casa,Casa,449978,580,-0.2023585965764884,-78.49014806964756,Mariscal Sucre
Casa,Casa,145000,183,-0.1228911985203762,-78.48591524653797,Ponceano
Departamento,Departamento,75000,89,-0.120455094181604,-78.4791606781938,Comite del Pueblo
Casa,Casa,299000,500,-0.1040000511065342,-78.4820645661565,Ponceano
Casa,Casa,130000,290,-0.09274502424051086,-78.47949852129747,Carcelen
Departamento,Departamento,95000,139,-0.1542851332429206,-78.46796656472378,El Inca
Oficina/Consultorio,Oficina/Consultorio,55000,52,-0.2054747094493402,-78.49538958294313,Mariscal Sucre
Oficina/Consultorio,Oficina/Consultorio,109500,55,-0.1838786979798986,-78.48705651419132,Iñaquito
Local,Local,269000,210,-0.2016782735421778,-78.48289284584311,La Paz
Casa,Casa,78000,211,-0.3173243843041251,-78.57104945817005,La Ecuatoriana
Departamento,Departamento,140000,111,-0.1932162843133648,-78.4785653744162,La Paz
Casa,Casa,170000,347,-0.2601173216102854,-78.54310983461241,El Pintado
Departamento,Departamento,61990,97,-0.1067912355819846,-78.48131198081983,Ponceano
Departamento,Departamento,169000,252,-0.1978921550413664,-78.47917004346947,La Paz
Lote,Lote,270000,50,-0.2238623091585524,-78.51491202439053,Centro Historico
Departamento,Departamento,219903,98,-0.1903830529349751,-78.48338190229713,Iñaquito
Departamento,Departamento,179554,98,-0.1903007575461642,-78.4834333224582,Iñaquito
Departamento,Departamento,180000,253,-0.174238995671413,-78.48343653079792,Iñaquito
Departamento,Departamento,169000,156,-0.1973138005829954,-78.47890001100959,La Paz
Departamento,Departamento,150000,119,-0.132736783415899,-78.46504276185267,San Isidro del Inca
